question_code,label,survey,sub_dimension,dimension,factor,reverse_scored
provides_feedback_to_coworkers,feedback_3,wpm,feedback,drives,inspiring,FALSE
uses_logic_to_persuade,influence_1,wpm,influence,drives,inspiring,FALSE
uses_goal_alignment_to_persuade,influence_2,wpm,influence,drives,inspiring,FALSE
asks_for_input_on_new_ideas,influence_3,wpm,influence,drives,inspiring,FALSE
is_satisfied_with_physical_health,health_1,wpm,health,wellbeing,,FALSE
is_satisfied_with_fitness,health_2,wpm,health,wellbeing,,FALSE
is_satisfied_with_diet,health_3,wpm,health,wellbeing,,FALSE
is_satisfied_with_energy,health_4,wpm,health,wellbeing,,FALSE
is_satisfied_with_sleep,health_5,wpm,health,wellbeing,,FALSE
is_satisfied_with_friendships,lifesat_1,wpm,lifesat,wellbeing,,FALSE
is_satisfied_with_family_life,lifesat_2,wpm,lifesat,wellbeing,,FALSE
is_satisfied_with_work_relationships,lifesat_3,wpm,lifesat,wellbeing,,FALSE
is_satisfied_with_leisure_time,lifesat_4,wpm,lifesat,wellbeing,,FALSE
is_satisfied_with_romantic_relationships,lifesat_5,wpm,lifesat,wellbeing,,FALSE
wants_a_coach_with_a_explorative_approach,coach_explore,coach_match,,,,FALSE
wants_a_coach_with_a_focused_and_direct_approach,coach_direct,coach_match,,,,FALSE
wants_a_coach_that_gives_me_the_autonomy_to_direct_my_learning,coach_autonomy,coach_match,,,,FALSE
wants_a_coach_that_provides_close_accountability_to_support_my_growth,coach_account,coach_match,,,,FALSE
focused_vs_explorative,focus_v_explore,coach_match,,,,FALSE
accountability_vs_autonomy,account_v_auto,coach_match,,,,FALSE
can_achieve_meaningful_change,achieve_change,motivation_matrix,,,,FALSE
good_time_for_working_with_coach,timing,motivation_matrix,,,,FALSE
clear_understanding_of_what_to_work_on,clarity,motivation_matrix,,,,FALSE
open_to_investing_in_personal_development,opentodev,motivation_matrix,,,,FALSE
first_name,first_name,demos,,,,FALSE
last_name,last_name,demos,,,,FALSE
job_title,job_title,demos,,,,FALSE
time_zone,time_zone,demos,,,,FALSE
is_manager,is_manager,demos,,,,FALSE
age,age,demos,,,,FALSE
gender,gender,demos,,,,FALSE
ethnicity,ethnicity,demos,,,,FALSE
educational_attainment,education,demos,,,,FALSE
wants_to_improve_focus,focus_focus,area_of_focus,,,,FALSE
wants_to_inspire_a_team,focus_inspire,area_of_focus,,,,FALSE
wants_to_increase_impact,focus_impact,area_of_focus,,,,FALSE
wants_to_become_more_open,focus_open,area_of_focus,,,,FALSE
wants_to_handle_stress_better,focus_stress,area_of_focus,,,,FALSE
wants_to_communicate_with_poise,focus_communicate,area_of_focus,,,,FALSE
can_be_on_my_own,psycap_resilience_1,psycap,resilience,,,FALSE
meeting_work_goals,psycap_hope_4,psycap,hope,,,FALSE
look_on_bright_side,psycap_optimism_1,psycap,optimism,,,FALSE
optimistic_about_future,psycap_optimism_2,psycap,optimism,,,FALSE
many_ways_to_reach_goals,psycap_hope_3,psycap,hope,,,FALSE
see_myself_as_successful,psycap_hope_2,psycap,hope,,,FALSE
confident_discussing_strategy,psycap_efficacy_2,psycap,efficacy,,,FALSE
many_ways_to_get_out_of_a_jam,psycap_hope_1,psycap,hope,,,FALSE
can_get_through_difficult_times,psycap_resilience_3,psycap,resilience,,,FALSE
take_stressful_things_in_stride,psycap_resilience_2,psycap,resilience,,,FALSE
confident_presenting_information,psycap_efficacy_3,psycap,efficacy,,,FALSE
confident_representing_work_area,psycap_efficacy_1,psycap,efficacy,,,FALSE
motivation,motivation,open_ended,,,,
